"WT"	"dQ"	"HtoA"	"Null"	"WT_pH7"
"YBL059C-A"	-0.169943263655155	1.02581957806336	0.367798533599254	0.0671864145138226	-0.328377285082331
"YBL059W"	0.67597230171614	0.982142029295349	0.994626185026569	0.644909651779986	0.78679551933835
"YBL060W"	0.55815543763467	0.481286402464542	0.153683498437013	0.443785468678903	-0.240830202134813
"YBL061C"	-0.174848701948993	0.2554252718385	-0.130273319027771	-0.284475964050933	-0.455425142833447
"YBL062W"	1.33851014116022	1.44266465627798	1.58990066340136	0.659546057165944	0.0488732038987009
"YBL063W"	-0.295597583732646	0.0828345753814873	-0.107787590466137	-0.205137219383474	-0.560186596173618
"YBL064C"	0.571958100236556	1.05647594350424	0.63127523058074	0.260466902729746	0.802988302287914
"YBL065W"	2.26837112309115	1.82850706628622	0.542962306986933	1.61591180736756	1.95457014233255
"YBL066C"	0.576724583498276	0.636685978827177	0.461901938858261	0.757535848956332	0.977017570363051
"YBL067C"	0.447808677254805	-0.064819376059147	0.149169653531082	1.02560775956165	-0.705812526327224
"YBL068W"	0.0842167294369624	-0.0167657915072385	0.30003902931182	0.492129117926665	-0.102095875140978
"YBL068W-A"	-0.808940086531085	0.649038861430419	-0.325752260002624	-1.16234413637577	-2.02850557577104
"YBL069W"	-0.655952040387878	-0.304973233171679	-0.405253448967165	-0.737237845231225	-0.33719605957589
"YBL070C"	-0.0866627620194361	-1.02913994284639	-0.223168120413964	-0.40273959367649	1.3306383404586
"YBL071C"	1.50060338162626	0.829286404682483	1.09671423846422	1.9330599505949	2.38300053675045
"YBL071C-B"	-1.59433856501592	-0.336504441657547	2.79150182566555	-1.3720934705915	3.94832983331635
"YBL071W-A"	1.38997371674352	0.770415796464884	0.962596173776323	1.82789658097268	2.43073286626315
"YBL072C"	-0.911123281152997	-0.249236469236399	0.235790402073584	-2.59373854818352	-1.28395728174024
"YBL073W"	0.278024382230109	0.494630359869852	0.223113691560405	0.395731225287509	1.3421744593365
"YBL074C"	-0.900270177937022	-0.369162720914148	-1.07230869627508	-0.419138738090978	-0.563632720518124
"YBL075C"	0.752473512149405	2.47516689564977	1.2729871453238	0.252126871043953	3.27789583902857
"YBL076C"	-0.575990439478344	-0.36943008402652	0.042784806357945	-0.844864974622202	-0.327559404291407
"YBL077W"	0.304616488421309	0.518611675737133	1.15931711879914	-0.179844760120802	-0.595287338456194
"YBL078C"	1.04567843993286	2.05337372547334	1.43030571791053	0.373890092620271	1.09814288507779
"YBL079W"	0.0645017544244801	0.00501297506460024	0.0597965785249497	0.224650006577557	0.331195506843907
"YBL080C"	-0.0536315692154936	-0.629496879624383	-0.496119021311242	0.0654014357532649	0.167700044445133
"YBL081W"	-0.142387302586131	-0.0531773262873772	0.154494834290898	-0.253255028085055	-0.036465549295388
"YBL082C"	-0.463484583934304	-0.695923760126979	-0.404168963355871	-0.177686200178763	-0.958783129479992
"YBL083C"	0.438535870435801	-0.0850417972400449	0.0863444516621741	0.549191941044535	-0.729394710795179
"YBL084C"	-0.560032414649385	-0.327753909166741	-0.686320475024486	-0.185277381702079	-0.216541963052413
"YBL085W"	-0.981729927845152	0.0676960841763767	-0.257971005817627	-1.29148856830315	1.06310073474289
"YBL086C"	0.108479690176569	0.690615232813787	0.186599442057042	0.426896678694773	0.796813475594539
"YBL087C"	0.0713163086958564	-0.0735022561694183	0.931280938925996	-0.930874792018885	0.487265680664057
"YBL088C"	0.444467799002644	0.638347788193896	0.607250243283131	0.525391610527673	0.0932016457395579
"YBL089W"	-0.0236663572094306	-0.0590670158283931	-0.111821398590163	0.0431206321705944	-0.353783960155575
"YBL090W"	0.26615057193399	0.617614821794811	0.447579981201722	0.724468692677778	-0.41867403626755
"YBL091C"	0.0951429041892743	0.505253908592434	0.721931400079471	-0.64786313899095	-0.282421105540613
"YBL091C-A"	-0.109634557700307	0.641442339859263	0.4549001428021	-0.4376179487497	1.18019427933777
"YBL092W"	-0.628065627094687	-0.13321911327154	0.449915621445216	-2.2070862667054	0.221991423710737
"YBL093C"	0.96250916185401	0.25807680334675	0.743895240145806	0.876026862730656	3.65064359621146
"YBL094C"	0.486581834340545	0.598555622812858	0.51526934666322	0.810920880243013	-1.39919141350026
"YBL095W"	0.718753811216968	0.784376757236696	0.549037041744884	0.74680066815472	0.822609576279571
"YBL096C"	-0.0778727081356143	-0.706801035435736	-0.21148167141404	0.427884904197336	3.01974245265135
"YBL097W"	-0.0580202870794414	0.422828798713226	-0.00253026379476071	-0.563745505253631	1.17606842738304
"YBL098W"	0.0121189928298702	0.00378088793241618	-0.560285706210344	-0.275184734561362	0.294637646138627
"YBL099W"	0.0146428826480279	0.266026502147594	0.0726880093766883	-0.135796658320528	-0.848251287931023
"YBL100C"	0.275331043094487	0.462326103454574	0.483092574855403	-0.541471527440187	-0.767441908109962
"YBL100W-A"	4.83222116953918	0.829548243107756	0.451688157422323	1.62990362563022	0.888708691981364
"YBL100W-B"	-0.113794534756773	-0.279245293945877	0.189200933056639	-0.0856209686660181	0.797823058839061
"YBL100W-C"	-0.721628188158068	1.02995786006712	1.3079239050748	-0.819723294623458	-0.591215325021246
"YBL101C"	0.461030887799376	0.564594218553074	0.154014252042738	0.532233185288591	0.435741992426458
"YBL102W"	0.334491508473223	0.145511811153369	0.278174526266984	-0.0555414429209596	-0.139901591830356
"YBL103C"	-0.27933806587929	-0.575521486585528	-0.563459094855825	0.00849922645976422	-0.0284331219374174
"YBL104C"	0.155487839400466	0.0323143257583527	0.027410108198827	0.161433086287234	0.0395538112243607
"YBL105C"	-0.229452906458407	-0.135158937610784	0.00684048330120753	-0.185336155902499	-0.475129122946236
"YBL106C"	0.70935204155782	0.515414536469366	0.348861637835212	0.357354719542958	-0.588195842467237
"YBL107C"	0.230438588959696	0.547453657440491	0.7972264999247	0.139803431731518	-0.878353585833095
"YBL107W-A"	1.3333358820465	0.501319393427766	1.70311492900208	0.203197996315596	1.26058763846286
"YBL108C-A"	0.169477215173272	-0.49740624782139	-2.20241630706017	0.350183635102886	-0.631488786781007
"YBL108W"	-1.14657403191307	-0.386813340524272	0.146929391343243	-0.270019548661972	-0.0263089076930876
"YBL109W"	-0.301532833748941	-0.70126537976132	-1.40838503775191	-0.177551076482721	-0.731597331610856
"YBL111C"	-0.242440780482117	0.0979108571321717	-0.911443560299419	-0.391755435261275	-3.41645122884865
"YBL112C"	-0.646462658824385	0.534275621341058	-1.20290821352743	-0.970550884577397	-1.72758165247759
"YBL113C"	0.852202583562926	0.45348603879243	0.259449265596451	0.795333172757124	-1.06352595552219
"YBL113W-A"	0.162960324869981	-0.0594108541450926	0.538173030288974	-5.71246213868873	-3.40606556112548
"YBR001C"	-0.0998040865874646	-0.33148181449078	-0.727092197147195	0.457976661515848	-0.677265171562287
"YBR002C"	-0.313827880201541	-0.458536149836402	-0.154882317936692	0.410406905313294	0.3813363297365
"YBR003W"	-0.477983094748568	-0.683378094772637	-0.980065870232057	0.0525094638202621	-0.689804571976879
"YBR004C"	-0.199614350706944	-1.03759377411827	-0.629426688079807	-0.00396025239625819	0.42001967196777
"YBR005W"	0.27278426252135	-0.577255797070876	0.0719987327471134	0.0337672356988641	1.85925246725075
"YBR006W"	-0.0446892645880337	-0.0645796150788766	-0.132342175855438	-0.0544102685820342	0.0245682141370743
"YBR007C"	-1.03092994880837	-0.219777425247389	-0.81632725707401	-0.782789976485783	-0.674497836961237
"YBR008C"	0.0611422750196062	-0.502451820322652	-0.503788302266962	0.0963261793437847	-0.29890428580827
"YBR009C"	-0.989876990637061	0.267542318378809	-0.477678311063731	-1.14844647671252	-0.410221180321796
"YBR010W"	-0.659875847389409	0.802607241749149	-0.473840403594858	-0.634048639777076	-0.0150398258685449
"YBR011C"	-0.0088278978849785	0.445427816876767	0.6469733130962	-1.09190247321535	0.301280687617881
"YBR012C"	-0.186496555446393	0.0109813959131488	-0.143952774250467	-0.977409357414046	-0.815209008682671
"YBR012W-A"	-0.463619783225614	0.966916498552424	6.03736452893851	-0.466637714012018	20.7353855988593
"YBR012W-B"	1.30655466074473	0.651948460292864	0.767866784531408	0.0397531650842217	0.746617273454364
"YBR013C"	1.1291274654041	0.599957645093988	0.964778101169243	0.0877481856201007	1.20560857105031
"YBR014C"	0.296950786462425	0.636597839593229	0.387714052210956	-0.109728390464918	-0.821150815814084
"YBR015C"	-0.390340363969238	-0.520765246400338	-0.313094038515395	-0.378375182666145	-0.427615440877731
"YBR016W"	0.595534669485421	0.370688025667553	0.621918176550753	0.108597994684041	1.83608729868688
